instance,best_distance,avg_distance,std_distance,avg_time,runs
pr01.txt,967.5057539621339,967.5057539621339,0.0,176.07214856147766,1
pr02.txt,2348.4516397994207,2348.4516397994207,0.0,186.50170850753784,1
pr03.txt,4488.493643598935,4488.493643598935,0.0,316.9728493690491,1
pr04.txt,10324.554080325632,10324.554080325632,0.0,505.9332318305969,1
pr05.txt,7718.672817951376,7718.672817951376,0.0,887.9982903003693,1
pr06.txt,9965.181884804964,9965.181884804964,0.0,1149.911943435669,1
pr07.txt,1524.9308522688161,1524.9308522688161,0.0,143.56117582321167,1
pr08.txt,4450.25923099507,4450.25923099507,0.0,370.183402299881,1
pr09.txt,10372.96344274842,10372.96344274842,0.0,469.10215640068054,1
pr10.txt,11431.015464719574,11431.015464719574,0.0,790.8963162899017,1
